Virulence factor	Identity	Query/HSP	Contig	Position in contig	Protein function	Accession no.
ebpA_1_AE016830.1	100.00	3312/3312	NC_004668.1	1057387..1060698		
ebpB_1_AE016830.1	100.00	1431/1431	NC_004668.1	1060702..1062132		
ebpC_2_CP002491.1	99.04	1884/1884	NC_004668.1	1062129..1064006		
ace_3_AE016830.1	100.00	2025/2025	NC_004668.1	1068036..1070060		
camE_1_AF435442.1	100.00	501/501	NC_004668.1	1309986..1310486		
agg_2_CP002493.1	90.21	3918/3820	NC_004668.1	146450..150254		
gelE_6_AE016830.1	100.00	1530/1530	NC_004668.1	1762961..1764490		
fsrB_3_AE016830.1	100.00	729/729	NC_004668.1	1766068..1766796		
efaAfs_2_AE016830.1	100.00	927/927	NC_004668.1	1996629..1997555		
cOB1_1_AE016830.1	100.00	819/819	NC_004668.1	2421096..2421914		
ElrA_5_AE016830.1	100.00	2172/2172	NC_004668.1	2597215..2599386		
tpx_4_AE016830.1	100.00	510/510	NC_004668.1	2812663..2813172		
hylA_1_AE016830.1	100.00	4119/4119	NC_004668.1	2901752..2905870		
SrtA_4_AE016830.1	100.00	735/735	NC_004668.1	2929629..2930363		
cad_3_AE016830.1	100.00	930/930	NC_004668.1	3133910..3134839		
cCF10_1AE016830.1	100.00	828/828	NC_004668.1	3216046..3216873		
agg_1_AF454824.1	100.00	3906/3906	NC_004668.1	450218..454123		
cylL_1_AY032999.1	100.00	207/207	NC_004668.1	484620..484826		
cylM_3_AE016830.1	100.00	2982/2982	NC_004668.1	485112..488093		
hylB_1_AE016830.1	100.00	3015/3015	NC_004668.1	779877..782891		
agg_2_CP002493.1	96.84	3918/3918	NC_004671.1	9960..13877		
